rest_key,rest_coop,reporting_day,daypart_name,daypart_description,daypart_sales,daypart_transaction_qty
1364,SEA/TCA WA CP-0024,2010-01-05,Morning,Open - 11AM,996.56,227
1364,SEA/TCA WA CP-0024,2010-01-05,Regular Menu,10:30AM (11AM weekend) - Close,3156.33,533
1364,SEA/TCA WA CP-0024,2010-01-05,Total Day,All hours,4079.57,747
1364,SEA/TCA WA CP-0024,2010-01-06,After 4PM,4PM - Close,1676.32,252
1364,SEA/TCA WA CP-0024,2010-01-06,Afternoon,2PM - 4PM,563.52,103
1364,SEA/TCA WA CP-0024,2010-01-06,Breakfast,Open - 10:30AM (11AM weekend),875.29,226
1364,SEA/TCA WA CP-0024,2010-01-06,Dinner,4PM - 9PM,1375.17,205
1364,SEA/TCA WA CP-0024,2010-01-06,Evening,9PM - Close,301.15,47
1364,SEA/TCA WA CP-0024,2010-01-06,Late Night,11PM - 5AM,108.03,15
1364,SEA/TCA WA CP-0024,2010-01-06,Lunch,11AM -  2PM,919.92,167
1364,SEA/TCA WA CP-0024,2010-01-06,Morning,Open - 11AM,982.42,247
1364,SEA/TCA WA CP-0024,2010-01-06,Regular Menu,10:30AM (11AM weekend) - Close,3266.89,543
1364,SEA/TCA WA CP-0024,2010-01-06,Total Day,All hours,4142.18,769
1364,SEA/TCA WA CP-0024,2010-01-07,After 4PM,4PM - Close,1719.84,280
1364,SEA/TCA WA CP-0024,2010-01-07,Afternoon,2PM - 4PM,625.23,110
1364,SEA/TCA WA CP-0024,2010-01-07,Breakfast,Open - 10:30AM (11AM weekend),977.48,228
1364,SEA/TCA WA CP-0024,2010-01-07,Dinner,4PM - 9PM,1399.89,214
1364,SEA/TCA WA CP-0024,2010-01-07,Evening,9PM - Close,319.95,66
1364,SEA/TCA WA CP-0024,2010-01-07,Late Night,11PM - 5AM,41.97,11
1364,SEA/TCA WA CP-0024,2010-01-07,Lunch,11AM -  2PM,980.1,182
1364,SEA/TCA WA CP-0024,2010-01-07,Morning,Open - 11AM,1066.73,245
1364,SEA/TCA WA CP-0024,2010-01-07,Regular Menu,10:30AM (11AM weekend) - Close,3414.42,589
1364,SEA/TCA WA CP-0024,2010-01-07,Total Day,All hours,4391.9,817
1364,SEA/TCA WA CP-0024,2010-01-08,After 4PM,4PM - Close,2070.96,326
1364,SEA/TCA WA CP-0024,2010-01-08,Afternoon,2PM - 4PM,518.13,96
1364,SEA/TCA WA CP-0024,2010-01-08,Breakfast,Open - 10:30AM (11AM weekend),1039.87,225
1364,SEA/TCA WA CP-0024,2010-01-08,Dinner,4PM - 9PM,1506.81,233
1364,SEA/TCA WA CP-0024,2010-01-08,Evening,9PM - Close,564.15,93
1364,SEA/TCA WA CP-0024,2010-01-08,Late Night,11PM - 5AM,167.64,30
1364,SEA/TCA WA CP-0024,2010-01-08,Lunch,11AM -  2PM,1116.62,188
1364,SEA/TCA WA CP-0024,2010-01-08,Morning,Open - 11AM,1095.92,239
1364,SEA/TCA WA CP-0024,2010-01-08,Regular Menu,10:30AM (11AM weekend) - Close,3761.76,624
1364,SEA/TCA WA CP-0024,2010-01-08,Total Day,All hours,4801.63,849
1364,SEA/TCA WA CP-0024,2010-01-09,After 4PM,4PM - Close,1879.94,285
1364,SEA/TCA WA CP-0024,2010-01-09,Afternoon,2PM - 4PM,763.08,125
1364,SEA/TCA WA CP-0024,2010-01-09,Breakfast,Open - 10:30AM (11AM weekend),1178.45,222
1364,SEA/TCA WA CP-0024,2010-01-09,Dinner,4PM - 9PM,1357.65,206
1364,SEA/TCA WA CP-0024,2010-01-09,Evening,9PM - Close,522.29,79
1364,SEA/TCA WA CP-0024,2010-01-09,Late Night,11PM - 5AM,150.19,27
1364,SEA/TCA WA CP-0024,2010-01-09,Lunch,11AM -  2PM,1427.67,205
1364,SEA/TCA WA CP-0024,2010-01-09,Morning,Open - 11AM,1178.45,222
1364,SEA/TCA WA CP-0024,2010-01-09,Regular Menu,10:30AM (11AM weekend) - Close,4070.69,615
1364,SEA/TCA WA CP-0024,2010-01-09,Total Day,All hours,5249.14,837
1364,SEA/TCA WA CP-0024,2010-01-10,After 4PM,4PM - Close,1377.96,221
1364,SEA/TCA WA CP-0024,2010-01-10,Afternoon,2PM - 4PM,675.28,105
1364,SEA/TCA WA CP-0024,2010-01-10,Breakfast,Open - 10:30AM (11AM weekend),923.72,174
1364,SEA/TCA WA CP-0024,2010-01-10,Dinner,4PM - 9PM,1160.37,179
1364,SEA/TCA WA CP-0024,2010-01-10,Evening,9PM - Close,217.59,42
1364,SEA/TCA WA CP-0024,2010-01-10,Late Night,11PM - 5AM,44.6,9
1364,SEA/TCA WA CP-0024,2010-01-10,Lunch,11AM -  2PM,1235.05,164
1364,SEA/TCA WA CP-0024,2010-01-10,Morning,Open - 11AM,923.72,174
1364,SEA/TCA WA CP-0024,2010-01-10,Regular Menu,10:30AM (11AM weekend) - Close,3288.29,490
1364,SEA/TCA WA CP-0024,2010-01-10,Total Day,All hours,4212.01,664
1364,SEA/TCA WA CP-0024,2010-01-11,After 4PM,4PM - Close,1445.47,238
1364,SEA/TCA WA CP-0024,2010-01-11,Afternoon,2PM - 4PM,464.45,97
1364,SEA/TCA WA CP-0024,2010-01-11,Breakfast,Open - 10:30AM (11AM weekend),733.17,185
1364,SEA/TCA WA CP-0024,2010-01-11,Dinner,4PM - 9PM,1143.01,188
1364,SEA/TCA WA CP-0024,2010-01-11,Evening,9PM - Close,302.46,50
1364,SEA/TCA WA CP-0024,2010-01-11,Late Night,11PM - 5AM,15.25,3
1364,SEA/TCA WA CP-0024,2010-01-11,Lunch,11AM -  2PM,808.02,142
1364,SEA/TCA WA CP-0024,2010-01-11,Morning,Open - 11AM,778.2,194
1364,SEA/TCA WA CP-0024,2010-01-11,Regular Menu,10:30AM (11AM weekend) - Close,2762.97,486
1364,SEA/TCA WA CP-0024,2010-01-11,Total Day,All hours,3496.14,671
1364,SEA/TCA WA CP-0024,2010-01-12,After 4PM,4PM - Close,1332.95,236
1364,SEA/TCA WA CP-0024,2010-01-12,Afternoon,2PM - 4PM,593.23,117
1364,SEA/TCA WA CP-0024,2010-01-12,Breakfast,Open - 10:30AM (11AM weekend),753.0,186
1364,SEA/TCA WA CP-0024,2010-01-12,Dinner,4PM - 9PM,1070.08,185
1364,SEA/TCA WA CP-0024,2010-01-12,Evening,9PM - Close,262.87,51
1364,SEA/TCA WA CP-0024,2010-01-12,Late Night,11PM - 5AM,26.68,8
1364,SEA/TCA WA CP-0024,2010-01-12,Lunch,11AM -  2PM,872.5,161
1364,SEA/TCA WA CP-0024,2010-01-12,Morning,Open - 11AM,818.31,204
1364,SEA/TCA WA CP-0024,2010-01-12,Regular Menu,10:30AM (11AM weekend) - Close,2863.99,532
1364,SEA/TCA WA CP-0024,2010-01-12,Total Day,All hours,3616.99,718
1364,SEA/TCA WA CP-0024,2010-01-13,After 4PM,4PM - Close,1723.01,288
1364,SEA/TCA WA CP-0024,2010-01-13,Afternoon,2PM - 4PM,574.07,105
1364,SEA/TCA WA CP-0024,2010-01-13,Breakfast,Open - 10:30AM (11AM weekend),735.42,191
1364,SEA/TCA WA CP-0024,2010-01-13,Dinner,4PM - 9PM,1332.77,224
1364,SEA/TCA WA CP-0024,2010-01-13,Evening,9PM - Close,390.24,64
1364,SEA/TCA WA CP-0024,2010-01-13,Late Night,11PM - 5AM,53.71,10
1364,SEA/TCA WA CP-0024,2010-01-13,Lunch,11AM -  2PM,956.23,176
1364,SEA/TCA WA CP-0024,2010-01-13,Morning,Open - 11AM,789.98,205
1364,SEA/TCA WA CP-0024,2010-01-13,Regular Menu,10:30AM (11AM weekend) - Close,3307.87,583
1364,SEA/TCA WA CP-0024,2010-01-13,Total Day,All hours,4043.29,774
1364,SEA/TCA WA CP-0024,2010-01-14,After 4PM,4PM - Close,1958.37,302
1364,SEA/TCA WA CP-0024,2010-01-14,Afternoon,2PM - 4PM,504.67,97
1364,SEA/TCA WA CP-0024,2010-01-14,Breakfast,Open - 10:30AM (11AM weekend),851.63,214
1364,SEA/TCA WA CP-0024,2010-01-14,Dinner,4PM - 9PM,1508.82,236
1364,SEA/TCA WA CP-0024,2010-01-14,Evening,9PM - Close,449.55,66
1364,SEA/TCA WA CP-0024,2010-01-14,Late Night,11PM - 5AM,55.18,9
1364,SEA/TCA WA CP-0024,2010-01-14,Lunch,11AM -  2PM,1130.83,185
1364,SEA/TCA WA CP-0024,2010-01-14,Morning,Open - 11AM,915.13,228
1364,SEA/TCA WA CP-0024,2010-01-14,Regular Menu,10:30AM (11AM weekend) - Close,3657.37,598
1364,SEA/TCA WA CP-0024,2010-01-14,Total Day,All hours,4509.0,812
1364,SEA/TCA WA CP-0024,2010-01-15,After 4PM,4PM - Close,2008.56,331
1364,SEA/TCA WA CP-0024,2010-01-15,Afternoon,2PM - 4PM,555.9,109
1364,SEA/TCA WA CP-0024,2010-01-15,Breakfast,Open - 10:30AM (11AM weekend),1070.29,236
1364,SEA/TCA WA CP-0024,2010-01-15,Dinner,4PM - 9PM,1531.14,245
1364,SEA/TCA WA CP-0024,2010-01-15,Evening,9PM - Close,477.42,86
1364,SEA/TCA WA CP-0024,2010-01-15,Late Night,11PM - 5AM,151.96,25
1364,SEA/TCA WA CP-0024,2010-01-15,Lunch,11AM -  2PM,1218.12,209
1364,SEA/TCA WA CP-0024,2010-01-15,Morning,Open - 11AM,1137.63,248
1364,SEA/TCA WA CP-0024,2010-01-15,Regular Menu,10:30AM (11AM weekend) - Close,3849.92,661
1364,SEA/TCA WA CP-0024,2010-01-15,Total Day,All hours,4920.21,897
1364,SEA/TCA WA CP-0024,2010-01-16,After 4PM,4PM - Close,1502.05,225
1364,SEA/TCA WA CP-0024,2010-01-16,Afternoon,2PM - 4PM,617.41,109
1364,SEA/TCA WA CP-0024,2010-01-16,Breakfast,Open - 10:30AM (11AM weekend),1349.88,250
1364,SEA/TCA WA CP-0024,2010-01-16,Dinner,4PM - 9PM,1034.92,155
1364,SEA/TCA WA CP-0024,2010-01-16,Evening,9PM - Close,467.13,70
1364,SEA/TCA WA CP-0024,2010-01-16,Late Night,11PM - 5AM,229.9,31
1364,SEA/TCA WA CP-0024,2010-01-16,Lunch,11AM -  2PM,1182.75,162
1364,SEA/TCA WA CP-0024,2010-01-16,Morning,Open - 11AM,1349.88,250
1364,SEA/TCA WA CP-0024,2010-01-16,Regular Menu,10:30AM (11AM weekend) - Close,3302.21,496
1364,SEA/TCA WA CP-0024,2010-01-16,Total Day,All hours,4652.09,746
1364,SEA/TCA WA CP-0024,2010-01-17,After 4PM,4PM - Close,1437.56,205
1364,SEA/TCA WA CP-0024,2010-01-17,Afternoon,2PM - 4PM,534.48,78
1364,SEA/TCA WA CP-0024,2010-01-17,Breakfast,Open - 10:30AM (11AM weekend),1072.54,184
1364,SEA/TCA WA CP-0024,2010-01-17,Dinner,4PM - 9PM,1150.54,163
1364,SEA/TCA WA CP-0024,2010-01-17,Evening,9PM - Close,287.02,42
1364,SEA/TCA WA CP-0024,2010-01-17,Late Night,11PM - 5AM,107.27,17
1364,SEA/TCA WA CP-0024,2010-01-17,Lunch,11AM -  2PM,1051.1,162
1364,SEA/TCA WA CP-0024,2010-01-17,Morning,Open - 11AM,1072.54,184
1364,SEA/TCA WA CP-0024,2010-01-17,Regular Menu,10:30AM (11AM weekend) - Close,3023.14,445
1364,SEA/TCA WA CP-0024,2010-01-17,Total Day,All hours,4095.68,629
1364,SEA/TCA WA CP-0024,2010-01-18,After 4PM,4PM - Close,1131.0,201
1364,SEA/TCA WA CP-0024,2010-01-18,Afternoon,2PM - 4PM,539.13,103
1364,SEA/TCA WA CP-0024,2010-01-18,Breakfast,Open - 10:30AM (11AM weekend),722.66,163
1364,SEA/TCA WA CP-0024,2010-01-18,Dinner,4PM - 9PM,874.83,155
1364,SEA/TCA WA CP-0024,2010-01-18,Evening,9PM - Close,256.17,46
1364,SEA/TCA WA CP-0024,2010-01-18,Late Night,11PM - 5AM,83.05,10
1364,SEA/TCA WA CP-0024,2010-01-18,Lunch,11AM -  2PM,1178.07,189
1364,SEA/TCA WA CP-0024,2010-01-18,Morning,Open - 11AM,802.77,179
1364,SEA/TCA WA CP-0024,2010-01-18,Regular Menu,10:30AM (11AM weekend) - Close,2928.31,509
1364,SEA/TCA WA CP-0024,2010-01-18,Total Day,All hours,3650.97,672
1364,SEA/TCA WA CP-0024,2010-01-19,After 4PM,4PM - Close,1339.01,236
1364,SEA/TCA WA CP-0024,2010-01-19,Afternoon,2PM - 4PM,458.45,98
1364,SEA/TCA WA CP-0024,2010-01-19,Breakfast,Open - 10:30AM (11AM weekend),815.67,214
1364,SEA/TCA WA CP-0024,2010-01-19,Dinner,4PM - 9PM,1013.51,175
1364,SEA/TCA WA CP-0024,2010-01-19,Evening,9PM - Close,325.5,61
1364,SEA/TCA WA CP-0024,2010-01-19,Late Night,11PM - 5AM,58.97,9
1364,SEA/TCA WA CP-0024,2010-01-19,Lunch,11AM -  2PM,984.23,179
1364,SEA/TCA WA CP-0024,2010-01-19,Morning,Open - 11AM,869.59,224
1364,SEA/TCA WA CP-0024,2010-01-19,Regular Menu,10:30AM (11AM weekend) - Close,2835.61,523
1364,SEA/TCA WA CP-0024,2010-01-19,Total Day,All hours,3651.28,737
1364,SEA/TCA WA CP-0024,2010-01-20,After 4PM,4PM - Close,1832.33,291
1364,SEA/TCA WA CP-0024,2010-01-20,Afternoon,2PM - 4PM,567.67,106
1364,SEA/TCA WA CP-0024,2010-01-20,Breakfast,Open - 10:30AM (11AM weekend),933.15,228
1364,SEA/TCA WA CP-0024,2010-01-20,Dinner,4PM - 9PM,1427.24,223
1364,SEA/TCA WA CP-0024,2010-01-20,Evening,9PM - Close,405.09,68
1364,SEA/TCA WA CP-0024,2010-01-20,Late Night,11PM - 5AM,95.68,14
1364,SEA/TCA WA CP-0024,2010-01-20,Lunch,11AM -  2PM,1022.96,178
1364,SEA/TCA WA CP-0024,2010-01-20,Morning,Open - 11AM,1004.29,244
1364,SEA/TCA WA CP-0024,2010-01-20,Regular Menu,10:30AM (11AM weekend) - Close,3494.1,591
1364,SEA/TCA WA CP-0024,2010-01-20,Total Day,All hours,4427.25,819
1364,SEA/TCA WA CP-0024,2010-01-21,After 4PM,4PM - Close,1929.69,305
1364,SEA/TCA WA CP-0024,2010-01-21,Afternoon,2PM - 4PM,492.63,93
1364,SEA/TCA WA CP-0024,2010-01-21,Breakfast,Open - 10:30AM (11AM weekend),815.34,204
1364,SEA/TCA WA CP-0024,2010-01-21,Dinner,4PM - 9PM,1606.55,244
1364,SEA/TCA WA CP-0024,2010-01-21,Evening,9PM - Close,323.14,61
1364,SEA/TCA WA CP-0024,2010-01-21,Late Night,11PM - 5AM,52.72,10
1364,SEA/TCA WA CP-0024,2010-01-21,Lunch,11AM -  2PM,995.45,181
1364,SEA/TCA WA CP-0024,2010-01-21,Morning,Open - 11AM,885.01,221
1364,SEA/TCA WA CP-0024,2010-01-21,Regular Menu,10:30AM (11AM weekend) - Close,3487.44,596
1364,SEA/TCA WA CP-0024,2010-01-21,Total Day,All hours,4302.78,800
1364,SEA/TCA WA CP-0024,2010-01-22,After 4PM,4PM - Close,1802.75,357
1364,SEA/TCA WA CP-0024,2010-01-22,Afternoon,2PM - 4PM,547.55,107
1364,SEA/TCA WA CP-0024,2010-01-22,Breakfast,Open - 10:30AM (11AM weekend),777.36,148
1364,SEA/TCA WA CP-0024,2010-01-22,Dinner,4PM - 9PM,1303.19,258
1364,SEA/TCA WA CP-0024,2010-01-22,Evening,9PM - Close,499.56,99
1364,SEA/TCA WA CP-0024,2010-01-22,Late Night,11PM - 5AM,178.13,34
1364,SEA/TCA WA CP-0024,2010-01-22,Lunch,11AM -  2PM,1024.34,211
1364,SEA/TCA WA CP-0024,2010-01-22,Morning,Open - 11AM,849.95,160
1364,SEA/TCA WA CP-0024,2010-01-22,Regular Menu,10:30AM (11AM weekend) - Close,3447.23,687
1364,SEA/TCA WA CP-0024,2010-01-22,Total Day,All hours,4224.59,835
1364,SEA/TCA WA CP-0024,2010-01-23,After 4PM,4PM - Close,1787.52,370
1364,SEA/TCA WA CP-0024,2010-01-23,Afternoon,2PM - 4PM,665.49,138
1364,SEA/TCA WA CP-0024,2010-01-23,Breakfast,Open - 10:30AM (11AM weekend),1272.92,267
1364,SEA/TCA WA CP-0024,2010-01-23,Dinner,4PM - 9PM,1227.88,254
1364,SEA/TCA WA CP-0024,2010-01-23,Evening,9PM - Close,559.64,116
1364,SEA/TCA WA CP-0024,2010-01-23,Late Night,11PM - 5AM,221.74,46
1364,SEA/TCA WA CP-0024,2010-01-23,Lunch,11AM -  2PM,1271.77,264
1364,SEA/TCA WA CP-0024,2010-01-23,Morning,Open - 11AM,1272.92,267
1364,SEA/TCA WA CP-0024,2010-01-23,Regular Menu,10:30AM (11AM weekend) - Close,3724.78,772
1364,SEA/TCA WA CP-0024,2010-01-23,Total Day,All hours,4997.7,1039
1364,SEA/TCA WA CP-0024,2010-01-24,After 4PM,4PM - Close,1257.83,227
1364,SEA/TCA WA CP-0024,2010-01-24,Afternoon,2PM - 4PM,625.03,83
1364,SEA/TCA WA CP-0024,2010-01-24,Breakfast,Open - 10:30AM (11AM weekend),1049.83,184
1364,SEA/TCA WA CP-0024,2010-01-24,Dinner,4PM - 9PM,932.38,166
1364,SEA/TCA WA CP-0024,2010-01-24,Evening,9PM - Close,325.45,61
1364,SEA/TCA WA CP-0024,2010-01-24,Late Night,11PM - 5AM,56.66,14
1364,SEA/TCA WA CP-0024,2010-01-24,Lunch,11AM -  2PM,905.43,142
1364,SEA/TCA WA CP-0024,2010-01-24,Morning,Open - 11AM,1049.83,184
1364,SEA/TCA WA CP-0024,2010-01-24,Regular Menu,10:30AM (11AM weekend) - Close,2788.29,452
1364,SEA/TCA WA CP-0024,2010-01-24,Total Day,All hours,3838.12,636
1364,SEA/TCA WA CP-0024,2010-01-25,After 4PM,4PM - Close,1416.56,251
1364,SEA/TCA WA CP-0024,2010-01-25,Afternoon,2PM - 4PM,477.89,94
1364,SEA/TCA WA CP-0024,2010-01-25,Breakfast,Open - 10:30AM (11AM weekend),780.89,197
1364,SEA/TCA WA CP-0024,2010-01-25,Dinner,4PM - 9PM,1172.72,200
1364,SEA/TCA WA CP-0024,2010-01-25,Evening,9PM - Close,243.84,51
1364,SEA/TCA WA CP-0024,2010-01-25,Late Night,11PM - 5AM,24.48,5
1364,SEA/TCA WA CP-0024,2010-01-25,Lunch,11AM -  2PM,1000.35,172
1364,SEA/TCA WA CP-0024,2010-01-25,Morning,Open - 11AM,832.49,214
1364,SEA/TCA WA CP-0024,2010-01-25,Regular Menu,10:30AM (11AM weekend) - Close,2946.4,534
1364,SEA/TCA WA CP-0024,2010-01-25,Total Day,All hours,3727.29,731
1364,SEA/TCA WA CP-0024,2010-01-26,After 4PM,4PM - Close,1412.6,248
1364,SEA/TCA WA CP-0024,2010-01-26,Afternoon,2PM - 4PM,504.43,100
1364,SEA/TCA WA CP-0024,2010-01-26,Breakfast,Open - 10:30AM (11AM weekend),788.98,193
1364,SEA/TCA WA CP-0024,2010-01-26,Dinner,4PM - 9PM,1127.31,196
1364,SEA/TCA WA CP-0024,2010-01-26,Evening,9PM - Close,285.29,52
1364,SEA/TCA WA CP-0024,2010-01-26,Late Night,11PM - 5AM,29.82,6
1364,SEA/TCA WA CP-0024,2010-01-26,Lunch,11AM -  2PM,988.59,181
1364,SEA/TCA WA CP-0024,2010-01-26,Morning,Open - 11AM,878.38,214
1364,SEA/TCA WA CP-0024,2010-01-26,Regular Menu,10:30AM (11AM weekend) - Close,2995.02,550
1364,SEA/TCA WA CP-0024,2010-01-26,Total Day,All hours,3784.0,743
1364,SEA/TCA WA CP-0024,2010-01-27,After 4PM,4PM - Close,1743.39,271
1364,SEA/TCA WA CP-0024,2010-01-27,Afternoon,2PM - 4PM,538.92,105
1364,SEA/TCA WA CP-0024,2010-01-27,Breakfast,Open - 10:30AM (11AM weekend),1001.95,255
1364,SEA/TCA WA CP-0024,2010-01-27,Dinner,4PM - 9PM,1368.79,203
1364,SEA/TCA WA CP-0024,2010-01-27,Evening,9PM - Close,374.6,68
1364,SEA/TCA WA CP-0024,2010-01-27,Late Night,11PM - 5AM,52.45,12
1364,SEA/TCA WA CP-0024,2010-01-27,Lunch,11AM -  2PM,961.69,186
1364,SEA/TCA WA CP-0024,2010-01-27,Morning,Open - 11AM,1068.28,269
1364,SEA/TCA WA CP-0024,2010-01-27,Regular Menu,10:30AM (11AM weekend) - Close,3310.33,576
1364,SEA/TCA WA CP-0024,2010-01-27,Total Day,All hours,4312.28,831
1364,SEA/TCA WA CP-0024,2010-01-28,After 4PM,4PM - Close,2022.87,301
1364,SEA/TCA WA CP-0024,2010-01-28,Afternoon,2PM - 4PM,502.99,106
1364,SEA/TCA WA CP-0024,2010-01-28,Breakfast,Open - 10:30AM (11AM weekend),799.78,202
1364,SEA/TCA WA CP-0024,2010-01-28,Dinner,4PM - 9PM,1648.31,242
1364,SEA/TCA WA CP-0024,2010-01-28,Evening,9PM - Close,374.56,59
1364,SEA/TCA WA CP-0024,2010-01-28,Late Night,11PM - 5AM,70.02,10
1364,SEA/TCA WA CP-0024,2010-01-28,Lunch,11AM -  2PM,1123.05,188
1364,SEA/TCA WA CP-0024,2010-01-28,Morning,Open - 11AM,907.79,223
1364,SEA/TCA WA CP-0024,2010-01-28,Regular Menu,10:30AM (11AM weekend) - Close,3756.92,616
1364,SEA/TCA WA CP-0024,2010-01-28,Total Day,All hours,4556.7,818
1364,SEA/TCA WA CP-0024,2010-01-29,After 4PM,4PM - Close,1784.98,270
1364,SEA/TCA WA CP-0024,2010-01-29,Afternoon,2PM - 4PM,638.25,122
1364,SEA/TCA WA CP-0024,2010-01-29,Breakfast,Open - 10:30AM (11AM weekend),981.22,232
1364,SEA/TCA WA CP-0024,2010-01-29,Dinner,4PM - 9PM,1314.63,197
1364,SEA/TCA WA CP-0024,2010-01-29,Evening,9PM - Close,470.35,73
1364,SEA/TCA WA CP-0024,2010-01-29,Late Night,11PM - 5AM,189.03,32
1364,SEA/TCA WA CP-0024,2010-01-29,Lunch,11AM -  2PM,1396.43,225
1364,SEA/TCA WA CP-0024,2010-01-29,Morning,Open - 11AM,1071.14,252
1364,SEA/TCA WA CP-0024,2010-01-29,Regular Menu,10:30AM (11AM weekend) - Close,3909.58,637
1364,SEA/TCA WA CP-0024,2010-01-29,Total Day,All hours,4890.8,869
1364,SEA/TCA WA CP-0024,2010-01-30,After 4PM,4PM - Close,1755.68,280
1364,SEA/TCA WA CP-0024,2010-01-30,Afternoon,2PM - 4PM,617.19,117
1364,SEA/TCA WA CP-0024,2010-01-30,Breakfast,Open - 10:30AM (11AM weekend),1355.85,236
1364,SEA/TCA WA CP-0024,2010-01-30,Dinner,4PM - 9PM,1177.9,180
1364,SEA/TCA WA CP-0024,2010-01-30,Evening,9PM - Close,577.78,100
1364,SEA/TCA WA CP-0024,2010-01-30,Late Night,11PM - 5AM,320.18,50
1364,SEA/TCA WA CP-0024,2010-01-30,Lunch,11AM -  2PM,1258.38,183
1364,SEA/TCA WA CP-0024,2010-01-30,Morning,Open - 11AM,1355.85,236
1364,SEA/TCA WA CP-0024,2010-01-30,Regular Menu,10:30AM (11AM weekend) - Close,3631.25,580
1364,SEA/TCA WA CP-0024,2010-01-30,Total Day,All hours,4987.1,816
1364,SEA/TCA WA CP-0024,2010-01-31,After 4PM,4PM - Close,1337.69,222
1364,SEA/TCA WA CP-0024,2010-01-31,Afternoon,2PM - 4PM,656.07,101
1364,SEA/TCA WA CP-0024,2010-01-31,Breakfast,Open - 10:30AM (11AM weekend),1029.66,175
1364,SEA/TCA WA CP-0024,2010-01-31,Dinner,4PM - 9PM,1143.41,185
1364,SEA/TCA WA CP-0024,2010-01-31,Evening,9PM - Close,194.28,37
1364,SEA/TCA WA CP-0024,2010-01-31,Late Night,11PM - 5AM,38.39,7
1364,SEA/TCA WA CP-0024,2010-01-31,Lunch,11AM -  2PM,1003.22,153
1364,SEA/TCA WA CP-0024,2010-01-31,Morning,Open - 11AM,1029.66,175
1364,SEA/TCA WA CP-0024,2010-01-31,Regular Menu,10:30AM (11AM weekend) - Close,2996.98,476
